dataset,method,class,support,prevalence,rare,P_mean,R_mean,R_sd,F1_mean,F1_sd
galar_pathology,argmax,0,2986746,0.856549,0,0.9305,0.9373,0.0081,0.9338,0.0157
galar_pathology,argmax,1,373575,0.107135,0,0.5959,0.5995,0.1158,0.5977,0.1165
galar_pathology,argmax,2,33158,0.009509,0,0.1018,0.0886,0.0700,0.0657,0.0333
galar_pathology,argmax,3,28571,0.008194,0,0.4191,0.4961,0.2830,0.4382,0.1808
galar_pathology,argmax,4,16308,0.004677,0,0.0940,0.0584,0.0039,0.0700,0.0146
galar_pathology,argmax,5,14567,0.004178,0,0.0654,0.0943,0.0579,0.0703,0.0245
galar_pathology,argmax,6,14511,0.004162,0,0.0424,0.0481,0.0081,0.0430,0.0179
galar_pathology,argmax,7,10999,0.003154,0,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,argmax,8,5982,0.001716,1,0.2200,0.0186,0.0168,0.0343,0.0311
galar_pathology,argmax,9,2463,0.000706,1,0.1182,0.0688,0.0386,0.0840,0.0595
galar_pathology,argmax,10,60,0.000017,1,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,argmax,11,14,0.000004,1,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,la_tau,0,2986746,0.856549,0,0.9305,0.9373,0.0081,0.9338,0.0157
galar_pathology,la_tau,1,373575,0.107135,0,0.5959,0.5995,0.1158,0.5977,0.1165
galar_pathology,la_tau,2,33158,0.009509,0,0.1018,0.0886,0.0700,0.0657,0.0333
galar_pathology,la_tau,3,28571,0.008194,0,0.4191,0.4961,0.2830,0.4382,0.1808
galar_pathology,la_tau,4,16308,0.004677,0,0.0940,0.0584,0.0039,0.0700,0.0146
galar_pathology,la_tau,5,14567,0.004178,0,0.0654,0.0943,0.0579,0.0703,0.0245
galar_pathology,la_tau,6,14511,0.004162,0,0.0424,0.0481,0.0081,0.0430,0.0179
galar_pathology,la_tau,7,10999,0.003154,0,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,la_tau,8,5982,0.001716,1,0.2200,0.0186,0.0168,0.0343,0.0311
galar_pathology,la_tau,9,2463,0.000706,1,0.1182,0.0688,0.0386,0.0840,0.0595
galar_pathology,la_tau,10,60,0.000017,1,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,la_tau,11,14,0.000004,1,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,ot_alpha,0,2986746,0.856549,0,0.9112,0.9125,0.0620,0.9079,0.0018
galar_pathology,ot_alpha,1,373575,0.107135,0,0.5833,0.5282,0.2222,0.4172,0.0416
galar_pathology,ot_alpha,2,33158,0.009509,0,0.0627,0.0971,0.0781,0.0478,0.0168
galar_pathology,ot_alpha,3,28571,0.008194,0,0.3981,0.4806,0.2853,0.4189,0.1814
galar_pathology,ot_alpha,4,16308,0.004677,0,0.0680,0.0625,0.0263,0.0516,0.0017
galar_pathology,ot_alpha,5,14567,0.004178,0,0.0694,0.0894,0.0573,0.0723,0.0306
galar_pathology,ot_alpha,6,14511,0.004162,0,0.0392,0.0390,0.0175,0.0391,0.0178
galar_pathology,ot_alpha,7,10999,0.003154,0,0.0064,0.0000,0.0000,0.0001,0.0001
galar_pathology,ot_alpha,8,5982,0.001716,1,0.0558,0.1094,0.1074,0.0732,0.0704
galar_pathology,ot_alpha,9,2463,0.000706,1,0.1087,0.0648,0.0366,0.0780,0.0566
galar_pathology,ot_alpha,10,60,0.000017,1,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,ot_alpha,11,14,0.000004,1,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,mean_temporal,0,2986746,0.856549,0,0.9303,0.9469,0.0090,0.9384,0.0157
galar_pathology,mean_temporal,1,373575,0.107135,0,0.6229,0.6001,0.1233,0.6110,0.1139
galar_pathology,mean_temporal,2,33158,0.009509,0,0.1035,0.0813,0.0709,0.0659,0.0468
galar_pathology,mean_temporal,3,28571,0.008194,0,0.4628,0.4994,0.2844,0.4590,0.1845
galar_pathology,mean_temporal,4,16308,0.004677,0,0.1170,0.0512,0.0054,0.0684,0.0174
galar_pathology,mean_temporal,5,14567,0.004178,0,0.0727,0.0812,0.0661,0.0734,0.0521
galar_pathology,mean_temporal,6,14511,0.004162,0,0.0406,0.0362,0.0087,0.0366,0.0168
galar_pathology,mean_temporal,7,10999,0.003154,0,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,mean_temporal,8,5982,0.001716,1,0.2789,0.0143,0.0129,0.0271,0.0246
galar_pathology,mean_temporal,9,2463,0.000706,1,0.2100,0.0630,0.0418,0.0945,0.0711
galar_pathology,mean_temporal,10,60,0.000017,1,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,mean_temporal,11,14,0.000004,1,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,ega_b4,0,2986746,0.856549,0,0.9292,0.9500,0.0085,0.9394,0.0160
galar_pathology,ega_b4,1,373575,0.107135,0,0.6336,0.5907,0.1229,0.6111,0.1141
galar_pathology,ega_b4,2,33158,0.009509,0,0.1057,0.0770,0.0683,0.0675,0.0515
galar_pathology,ega_b4,3,28571,0.008194,0,0.4911,0.4945,0.2853,0.4657,0.1856
galar_pathology,ega_b4,4,16308,0.004677,0,0.1257,0.0413,0.0047,0.0594,0.0150
galar_pathology,ega_b4,5,14567,0.004178,0,0.0839,0.0726,0.0663,0.0764,0.0669
galar_pathology,ega_b4,6,14511,0.004162,0,0.0433,0.0327,0.0097,0.0359,0.0172
galar_pathology,ega_b4,7,10999,0.003154,0,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,ega_b4,8,5982,0.001716,1,0.2412,0.0571,0.0560,0.0921,0.0900
galar_pathology,ega_b4,9,2463,0.000706,1,0.0370,0.1312,0.0708,0.0576,0.0354
galar_pathology,ega_b4,10,60,0.000017,1,0.0260,0.0446,0.0446,0.0329,0.0329
galar_pathology,ega_b4,11,14,0.000004,1,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,hcg,0,2986746,0.856549,0,0.9309,0.9423,0.0107,0.9365,0.0162
galar_pathology,hcg,1,373575,0.107135,0,0.6230,0.5990,0.1292,0.6103,0.1148
galar_pathology,hcg,2,33158,0.009509,0,0.1021,0.0825,0.0717,0.0649,0.0450
galar_pathology,hcg,3,28571,0.008194,0,0.4091,0.5114,0.2814,0.4402,0.1732
galar_pathology,hcg,4,16308,0.004677,0,0.1042,0.0535,0.0045,0.0670,0.0180
galar_pathology,hcg,5,14567,0.004178,0,0.0574,0.0846,0.0688,0.0644,0.0433
galar_pathology,hcg,6,14511,0.004162,0,0.0369,0.0394,0.0106,0.0366,0.0180
galar_pathology,hcg,7,10999,0.003154,0,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,hcg,8,5982,0.001716,1,0.2763,0.0136,0.0117,0.0257,0.0226
galar_pathology,hcg,9,2463,0.000706,1,0.1047,0.0805,0.0453,0.0889,0.0615
galar_pathology,hcg,10,60,0.000017,1,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,hcg,11,14,0.000004,1,0.0000,0.0000,0.0000,0.0000,0.0000
galar_pathology,hcg_const,0,2986746,0.856549,0,0.9307,0.9441,0.0100,0.9373,0.0160
galar_pathology,hcg_const,1,373575,0.107135,0,0.6229,0.5995,0.1270,0.6106,0.1144
galar_pathology,hcg_const,2,33158,0.009509,0,0.1032,0.0822,0.0716,0.0657,0.0463
